Classification,Pitch0,Roll0,Pitch1,Roll1,Pitch2,Roll2,Pitch3,Roll3,Pitch4,Roll4
A,-741,-228,-798,-570,-741,-798,-969,-342,1026,342
A,-798,-171,-855,-513,-798,-741,-1026,-285,1083,342
A,-855,0,-1026,-114,-1083,-285,-1083,228,1026,342
A,-855,0,-969,-114,-1026,-285,-1083,171,1026,342
A,-969,-57,-1026,-228,-1083,-228,-1140,114,1083,0
A,-855,-171,-912,-342,-969,-342,-1083,57,1083,285
A,-912,-285,-969,-399,-1026,-342,-1083,0,1083,114
A,-912,-342,-912,-513,-969,-456,-1083,-57,1026,114
A,-969,-114,-1026,-285,-1026,-285,-1083,57,1083,57
A,-1026,-228,-1026,-399,-1083,-342,-1140,0,1083,-57
A,-1026,-228,-1026,-399,-1083,-342,-1140,0,1083,-57
A,-969,-171,-1026,-342,-1026,-342,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-342,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-285,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-285,-969,-456,-1026,-399,-1140,0,1026,57
A,-969,-342,-969,-513,-969,-513,-1140,-114,1026,0
A,-969,-228,-1026,-342,-1026,-342,-1083,0,1026,-57
A,-798,-171,-912,-342,-912,-456,-1083,0,1026,228
A,-855,-228,-912,-399,-969,-456,-1083,0,1026,114
A,-912,-285,-912,-399,-969,-513,-1083,-57,1026,57
A,-912,-285,-912,-456,-969,-513,-1083,-114,1026,57
A,-912,-285,-912,-456,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-456,-969,-570,-1083,-114,1026,57
A,-855,-285,-912,-456,-969,-570,-1083,-114,1026,57
A,-855,-285,-912,-399,-912,-513,-1083,-57,1026,114
A,-798,-342,-855,-456,-912,-570,-1083,-57,1026,171
A,-855,-342,-855,-456,-912,-570,-1083,-114,1026,114
A,-798,-456,-855,-570,-855,-684,-1083,-228,969,114
A,-741,-456,-798,-570,-798,-684,-1026,-228,912,114
A,-741,-570,-741,-684,-741,-798,-969,-342,855,171
A,-741,-627,-741,-741,-741,-855,-969,-399,855,171
A,-912,-399,-855,-627,-912,-627,-1083,-171,1083,57
A,-912,-456,-855,-684,-912,-684,-1083,-228,1083,0
A,-969,-399,-912,-627,-912,-627,-1140,-171,1140,0
A,-969,-399,-912,-627,-912,-570,-1083,-171,1083,0
A,-969,-456,-855,-684,-912,-684,-1083,-285,1083,0
A,-912,-456,-855,-684,-855,-684,-1083,-285,1083,0
A,-969,-456,-855,-684,-855,-684,-1083,-285,1083,-57
A,-912,-570,-798,-741,-855,-741,-1083,-342,1026,-57
A,-912,-570,-798,-798,-798,-741,-1026,-399,1026,-57
A,-912,-627,-798,-798,-798,-798,-1026,-399,1026,-57
A,-912,-570,-798,-798,-798,-741,-1026,-399,1026,0
A,-855,-627,-741,-798,-798,-798,-1026,-399,1026,0
A,-855,-627,-741,-798,-798,-798,-1026,-399,1026,0
A,-855,-627,-741,-798,-798,-798,-1026,-342,1026,57
A,-855,-570,-741,-741,-798,-741,-1026,-342,1026,57
A,-798,-570,-741,-741,-798,-741,-1026,-285,1026,114
A,-798,-570,-741,-741,-798,-798,-1026,-285,1026,171
A,-798,-570,-741,-741,-798,-798,-1026,-285,1026,171
